time,open,high,low,close,tick_volume
2026-05-14T10:30:00Z,4705.45,4710.65,4702.94,4710.25,956
2026-05-14T10:35:00Z,4710.41,4718.73,4710.23,4712.31,1069
2026-05-14T10:40:00Z,4712.19,4714.57,4709.12,4709.15,865
2026-05-14T10:45:00Z,4709.05,4709.59,4703.13,4704.39,794
2026-05-14T10:50:00Z,4704.37,4704.37,4695.2,4700.02,983
2026-05-14T10:55:00Z,4700.07,4700.98,4690.73,4693.05,1166
2026-05-14T11:00:00Z,4692.63,4700.86,4692.13,4697.44,1073
2026-05-14T11:05:00Z,4697.46,4699.93,4696.28,4697.35,781
2026-05-14T11:10:00Z,4697.47,4700.57,4695.5,4698.94,844
2026-05-14T11:15:00Z,4699.0,4701.78,4699.0,4699.66,753
2026-05-14T11:20:00Z,4699.66,4701.7,4697.9,4701.04,828
2026-05-14T11:25:00Z,4701.05,4704.9,4700.76,4703.02,908
2026-05-14T11:30:00Z,4703.01,4705.71,4701.68,4702.43,772
2026-05-14T11:35:00Z,4702.27,4706.61,4701.73,4701.96,896
2026-05-14T11:40:00Z,4701.93,4702.7,4695.6,4696.86,865
2026-05-14T11:45:00Z,4696.86,4697.46,4694.32,4695.14,850
2026-05-14T11:50:00Z,4695.13,4696.51,4693.48,4694.64,718
2026-05-14T11:55:00Z,4694.63,4696.91,4693.03,4693.27,749
2026-05-14T12:00:00Z,4693.38,4694.05,4690.18,4692.55,822
2026-05-14T12:05:00Z,4692.57,4696.57,4690.89,4696.41,713
2026-05-14T12:10:00Z,4696.42,4698.05,4693.1,4694.51,755
2026-05-14T12:15:00Z,4694.31,4696.63,4694.1,4695.55,674
2026-05-14T12:20:00Z,4695.62,4696.56,4693.21,4693.38,590
2026-05-14T12:25:00Z,4693.38,4694.28,4690.68,4690.68,727
2026-05-14T12:30:00Z,4690.66,4694.72,4689.19,4694.72,761
2026-05-14T12:35:00Z,4694.72,4694.72,4688.45,4692.47,974
2026-05-14T12:40:00Z,4692.48,4697.18,4691.95,4695.48,780
2026-05-14T12:45:00Z,4695.53,4700.53,4695.53,4700.36,821
2026-05-14T12:50:00Z,4700.34,4702.48,4698.33,4698.99,789
2026-05-14T12:55:00Z,4698.83,4701.47,4698.4,4699.52,791
2026-05-14T13:00:00Z,4699.59,4700.09,4698.45,4698.96,686
2026-05-14T13:05:00Z,4699.17,4700.68,4698.13,4698.45,625
2026-05-14T13:10:00Z,4698.57,4705.29,4696.0,4697.16,973
2026-05-14T13:15:00Z,4697.15,4698.27,4695.22,4696.74,816
2026-05-14T13:20:00Z,4696.75,4697.58,4693.88,4694.41,726
2026-05-14T13:25:00Z,4694.35,4698.35,4694.19,4697.53,802
2026-05-14T13:30:00Z,4697.54,4698.0,4695.43,4696.8,598
2026-05-14T13:35:00Z,4696.79,4697.68,4694.59,4696.1,673
2026-05-14T13:40:00Z,4696.07,4696.07,4692.19,4693.48,784
2026-05-14T13:45:00Z,4693.63,4694.9,4691.94,4692.86,722
2026-05-14T13:50:00Z,4692.88,4697.71,4691.21,4696.7,858
2026-05-14T13:55:00Z,4696.74,4697.42,4695.42,4696.99,783
2026-05-14T14:00:00Z,4697.04,4698.64,4694.82,4695.05,888
2026-05-14T14:05:00Z,4695.03,4698.87,4692.8,4697.21,820
2026-05-14T14:10:00Z,4697.36,4697.79,4696.11,4697.34,603
2026-05-14T14:15:00Z,4697.37,4697.62,4694.65,4695.19,626
2026-05-14T14:20:00Z,4694.83,4696.78,4693.29,4693.55,631
2026-05-14T14:25:00Z,4693.57,4694.06,4689.44,4691.91,812
2026-05-14T14:30:00Z,4691.92,4694.99,4690.82,4693.86,768
2026-05-14T14:35:00Z,4693.82,4695.92,4693.0,4695.59,625
2026-05-14T14:40:00Z,4695.6,4697.31,4694.98,4695.35,686
2026-05-14T14:45:00Z,4695.36,4700.32,4694.9,4698.08,751
2026-05-14T14:50:00Z,4698.11,4704.44,4697.87,4704.13,896
2026-05-14T14:55:00Z,4704.12,4704.76,4694.37,4694.37,1036
2026-05-14T15:00:00Z,4694.05,4697.98,4692.37,4696.28,1019
2026-05-14T15:05:00Z,4696.25,4698.79,4693.97,4697.14,832
2026-05-14T15:10:00Z,4697.1,4703.78,4696.89,4703.77,931
2026-05-14T15:15:00Z,4703.82,4703.82,4698.78,4701.52,791
2026-05-14T15:20:00Z,4701.75,4707.42,4701.46,4705.52,1039
2026-05-14T15:25:00Z,4705.5,4706.08,4702.49,4703.18,780
2026-05-14T15:30:00Z,4703.0,4708.14,4700.79,4705.65,1095
2026-05-14T15:35:00Z,4705.78,4710.03,4703.44,4706.5,1209
2026-05-14T15:40:00Z,4706.5,4707.46,4697.99,4698.03,967
