time,open,high,low,close,tick_volume
2025-10-16T00:00:00Z,1.164060,1.164530,1.163740,1.164030,65
2025-10-16T00:15:00Z,1.164030,1.164380,1.164010,1.164230,63
2025-10-16T00:30:00Z,1.164230,1.164310,1.164160,1.164220,88
2025-10-16T00:45:00Z,1.164220,1.164350,1.164160,1.164160,51
2025-10-16T01:00:00Z,1.164160,1.165220,1.164160,1.164560,282
2025-10-16T01:15:00Z,1.164570,1.164650,1.164530,1.164610,148
2025-10-16T01:30:00Z,1.164610,1.164840,1.164550,1.164820,254
2025-10-16T01:45:00Z,1.164820,1.165050,1.164430,1.164490,419
2025-10-16T02:00:00Z,1.164490,1.164680,1.164490,1.164590,311
2025-10-16T02:15:00Z,1.164590,1.164660,1.164460,1.164500,181
2025-10-16T02:30:00Z,1.164500,1.164560,1.164440,1.164550,230
2025-10-16T02:45:00Z,1.164550,1.164620,1.164440,1.164540,346
2025-10-16T03:00:00Z,1.164540,1.164900,1.164250,1.164850,736
2025-10-16T03:15:00Z,1.164850,1.165690,1.164770,1.165650,734
2025-10-16T03:30:00Z,1.165650,1.166440,1.165440,1.166440,1314
2025-10-16T03:45:00Z,1.166440,1.166650,1.165940,1.166270,1113
2025-10-16T04:00:00Z,1.166280,1.166500,1.166080,1.166300,930
2025-10-16T04:15:00Z,1.166300,1.166920,1.166280,1.166580,1002
2025-10-16T04:30:00Z,1.166580,1.166940,1.166540,1.166850,889
2025-10-16T04:45:00Z,1.166870,1.167500,1.166650,1.166950,820
2025-10-16T05:00:00Z,1.166950,1.167430,1.166930,1.166970,701
2025-10-16T05:15:00Z,1.166970,1.166980,1.166560,1.166620,574
2025-10-16T05:30:00Z,1.166620,1.166670,1.166380,1.166420,574
2025-10-16T05:45:00Z,1.166420,1.166720,1.166420,1.166570,477
2025-10-16T06:00:00Z,1.166570,1.166570,1.166180,1.166420,476
2025-10-16T06:15:00Z,1.166420,1.166680,1.166120,1.166290,444
2025-10-16T06:30:00Z,1.166290,1.166330,1.166150,1.166230,403
2025-10-16T06:45:00Z,1.166220,1.166310,1.166150,1.166170,263
2025-10-16T07:00:00Z,1.166170,1.166170,1.165970,1.166060,269
2025-10-16T07:15:00Z,1.166060,1.166060,1.165720,1.165740,278
2025-10-16T07:30:00Z,1.165740,1.165820,1.165590,1.165640,237
2025-10-16T07:45:00Z,1.165650,1.165730,1.165540,1.165570,383
2025-10-16T08:00:00Z,1.165570,1.165720,1.165390,1.165490,434
2025-10-16T08:15:00Z,1.165510,1.165610,1.165350,1.165610,497
2025-10-16T08:30:00Z,1.165610,1.165930,1.165340,1.165730,838
2025-10-16T08:45:00Z,1.165720,1.166100,1.165640,1.165950,731
2025-10-16T09:00:00Z,1.165950,1.166600,1.165500,1.166600,1245
2025-10-16T09:15:00Z,1.166590,1.166760,1.165910,1.166130,1281
2025-10-16T09:30:00Z,1.166120,1.166140,1.165610,1.165660,995
2025-10-16T09:45:00Z,1.165660,1.165890,1.165180,1.165350,1193
2025-10-16T10:00:00Z,1.165350,1.165590,1.164950,1.165070,1592
2025-10-16T10:15:00Z,1.165070,1.165210,1.164480,1.164680,1304
2025-10-16T10:30:00Z,1.164680,1.165440,1.164350,1.165420,1149
2025-10-16T10:45:00Z,1.165430,1.165630,1.164260,1.165200,2050
2025-10-16T11:00:00Z,1.165180,1.165840,1.164830,1.165420,1700
2025-10-16T11:15:00Z,1.165420,1.165840,1.165250,1.165590,1114
2025-10-16T11:30:00Z,1.165590,1.165940,1.165380,1.165820,877
2025-10-16T11:45:00Z,1.165820,1.165930,1.165590,1.165850,858
2025-10-16T12:00:00Z,1.165860,1.165990,1.165540,1.165750,665
2025-10-16T12:15:00Z,1.165750,1.166040,1.165200,1.165270,909
2025-10-16T12:30:00Z,1.165290,1.166050,1.165250,1.165940,845
2025-10-16T12:45:00Z,1.165940,1.166350,1.165580,1.165790,752
2025-10-16T13:00:00Z,1.165790,1.166000,1.165430,1.165560,899
2025-10-16T13:15:00Z,1.165560,1.166250,1.165320,1.166140,811
