time,open,high,low,close,tick_volume
2026-05-14T10:30:00Z,4705.45,4718.73,4702.94,4709.15,2890
2026-05-14T10:45:00Z,4709.05,4709.59,4690.73,4693.05,2943
2026-05-14T11:00:00Z,4692.63,4700.86,4692.13,4698.94,2698
2026-05-14T11:15:00Z,4699.0,4704.9,4697.9,4703.02,2489
2026-05-14T11:30:00Z,4703.01,4706.61,4695.6,4696.86,2533
2026-05-14T11:45:00Z,4696.86,4697.46,4693.03,4693.27,2317
2026-05-14T12:00:00Z,4693.38,4698.05,4690.18,4694.51,2290
2026-05-14T12:15:00Z,4694.31,4696.63,4690.68,4690.68,1991
2026-05-14T12:30:00Z,4690.66,4697.18,4688.45,4695.48,2515
2026-05-14T12:45:00Z,4695.53,4702.48,4695.53,4699.52,2401
2026-05-14T13:00:00Z,4699.59,4705.29,4696.0,4697.16,2284
2026-05-14T13:15:00Z,4697.15,4698.35,4693.88,4697.53,2344
2026-05-14T13:30:00Z,4697.54,4698.0,4692.19,4693.48,2055
2026-05-14T13:45:00Z,4693.63,4697.71,4691.21,4696.99,2363
2026-05-14T14:00:00Z,4697.04,4698.87,4692.8,4697.34,2311
2026-05-14T14:15:00Z,4697.37,4697.62,4689.44,4691.91,2069
2026-05-14T14:30:00Z,4691.92,4697.31,4690.82,4695.35,2079
2026-05-14T14:45:00Z,4695.36,4704.76,4694.37,4694.37,2683
2026-05-14T15:00:00Z,4694.05,4703.78,4692.37,4703.77,2782
2026-05-14T15:15:00Z,4703.82,4707.42,4698.78,4703.18,2610
2026-05-14T15:30:00Z,4703.0,4710.03,4697.99,4698.03,3271
2026-05-14T15:45:00Z,4698.02,4706.31,4696.0,4704.9,2689
2026-05-14T16:00:00Z,4705.04,4707.77,4696.21,4704.04,3513
2026-05-14T16:15:00Z,4704.19,4704.33,4688.02,4688.23,3720
2026-05-14T16:30:00Z,4688.19,4689.42,4666.38,4676.75,4625
2026-05-14T16:45:00Z,4676.78,4691.03,4675.84,4679.5,4482
2026-05-14T17:00:00Z,4679.49,4690.16,4677.56,4687.6,4251
2026-05-14T17:15:00Z,4687.73,4700.78,4686.59,4691.44,3834
2026-05-14T17:30:00Z,4691.43,4692.32,4686.02,4686.85,3370
2026-05-14T17:45:00Z,4686.63,4690.4,4679.11,4679.46,3722
2026-05-14T18:00:00Z,4679.52,4686.6,4676.97,4684.83,3438
2026-05-14T18:15:00Z,4684.84,4689.36,4684.09,4685.77,2947
2026-05-14T18:30:00Z,4685.78,4688.89,4680.92,4682.5,2903
2026-05-14T18:45:00Z,4682.39,4686.7,4680.98,4685.83,2538
2026-05-14T19:00:00Z,4685.71,4686.86,4674.14,4678.53,3141
2026-05-14T19:15:00Z,4678.44,4681.24,4675.33,4677.19,2615
2026-05-14T19:30:00Z,4677.16,4678.26,4670.3,4675.36,3068
2026-05-14T19:45:00Z,4675.37,4678.94,4672.63,4678.51,2478
2026-05-14T20:00:00Z,4678.64,4682.49,4678.44,4678.66,2684
2026-05-14T20:15:00Z,4678.68,4682.99,4676.84,4677.35,2761
2026-05-14T20:30:00Z,4677.26,4681.48,4676.38,4681.35,2421
2026-05-14T20:45:00Z,4681.38,4681.71,4677.71,4678.09,1949
2026-05-14T21:00:00Z,4678.17,4678.34,4668.67,4674.62,2951
2026-05-14T21:15:00Z,4674.62,4676.37,4672.92,4673.47,2027
2026-05-14T21:30:00Z,4673.62,4674.89,4668.3,4668.47,1795
2026-05-14T21:45:00Z,4668.67,4671.76,4667.13,4671.58,1740
